request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,326.3,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,"Pay EUR 1,302.40 in full on 15 June 2024. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,1561808.27,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,2942.71,affordable_later,wait,2025-03-15:40018,2025-03-15,none,"Pay ZAR 40,018 in full on 15 March 2025. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,39154.84,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Pay INR 118,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,14583.2,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000 request. Although INR 14,583.20 is available today, the full amount cannot be completed safely within 90 days."
request_36,486.05,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954 request. Although USD 486.05 is available today, the full amount cannot be completed safely within 90 days."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,159.97,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,63798.67,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,161.56,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Pay EUR 1,290.30 in full on 15 June 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,7438733.26,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Pay IDR 38,760,000 in full on 15 November 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,0,affordable_later,wait,2026-01-15:52100,2026-01-15,none,"Pay INR 52,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 113,100 minimum."
request_43,7833880.26,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,19248.61,affordable_later,wait,2025-03-15:95800,2025-03-15,none,"Pay INR 95,800 in full on 15 March 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,2807268.15,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 15 August 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,39863.91,affordable_with_plan,partial_payment,2024-12-03:39863.91|2024-12-15:9586.09,2024-12-15,none,"Pay INR 39,863.91 today and the remaining INR 9,586.09 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,4523518.85,affordable_later,wait,2025-06-05:38114000,2025-06-05,none,"Pay IDR 38,114,000 in full on 5 June 2025. Paying earlier would take the balance below the IDR 30,049,000 minimum."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11914410.13,not_affordable,not_recommended,none,2024-03-15,none,"Do not proceed with the IDR 34,333,000 request. Although IDR 11,914,410 is available today, the full amount cannot be completed safely within 90 days."
request_50,22838.08,affordable_later,wait,2025-08-15:43900,2025-08-15,none,"Pay INR 43,900 in full on 15 August 2025. Paying earlier would take the balance below the INR 99,700 minimum."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,17911.96,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,412.77,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the USD 1,699.20 request. Although USD 412.77 is available today, the full amount cannot be completed safely within 90 days."
request_54,2750.26,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,750.26 is available today, the full amount cannot be completed safely within 90 days."
request_55,124233.47,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
